id,name,description,y
1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",action
1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,action
1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",action
1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,action
1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",action
1010755,Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",action
1010905,Amun,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one.",action
1011684,Angel (Angel Salvadore),"Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon.",action
1009740,Arnim Zola,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer.",action
1011758,Attuma,"Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people.",action
1009165,Avengers,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team.",action
1011766,Azazel (Mutant),"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.",action
1009596,Banshee (Theresa Rourke),"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom.",action
1011778,Baron Mordo (Karl Mordo),"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more.",action
1011785,Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.,action
1011793,Belasco,"Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart.",horror
1011346,Ben Reilly,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal.",action
1010782,Ben Urich,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.,action
1011907,Bethany Cabe,"Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark.",action
1011809,Black Knight (Dane Whitman),"Nephew of the villainous Black Knight that went by the name of Nathan Garrett, Dane was summoned by his uncle when he was mortally wounded following a battle with Iron Man.",action
1017109,Black Widow/Natasha Romanoff (MAA),"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed.",suspense
1011836,Bling!,"The mutant Roxy Washington was born into hip-hop ""royalty"" as the daughter of two famous hip-hop stars and has the power to produce diamonds of varying quality and can expel diamond shards from her body at high velocity.",action
1011119,"Bob, Agent of Hydra","A cowardly young man, Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes.",action
1010366,Boom Boom,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home and eventually hooked up with the New Mutants and, subsequently, X-Force.",action
1011276,Cap'n Oz,"William was born into the ClanDestine, making him a creature that is part magic.  After events surrounding the death of his brother Vincent, he moved to Australia where he started an acting career as the superhero Cap'n Oz.",action
1009220,Captain America,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty.",action
1017575,Captain America (Sam Wilson),"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>",action
1017105,Captain America/Steve Rogers (MAA),"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. ",action
1009225,Captain Stacy,NYPD Captain George Stacy was the father of one-time Peter Parker girlfriend Gwen Stacy.,action
1009688,Carmella Unuscione,Carmella Unuscione was one of the first members of the Magneto's Acolytes.,action
1011937,Carrion (Malcolm McBride),"Malcolm McBride was transformed into Carrion after coming into contact with a Carrion ""virus"" left behind by the High Evolutionary of the Cult of the Jackal in an effort to discredit the actions of the first Carrion.",action
1012019,Charlie-27,"Like all those who were to live on Jupiter, Charlie's body was bio-genetically engineered to withstand Jupiter's gravity (triple that of Earth), thus giving him a massive body and corresponding strength and endurance.",action
1010754,Chase Stein,Chase Stein is the son of mad scientists Victor and Janet Stein and is the tech genius of the Runaways.,action
1012065,Chthon,"Chthon is a demon taht possesses incalculable magical power, controlling every aspect of the dimension in which he is trapped.",action
1010676,Colleen Wing,"Colleen Wing was raised in Japan by her grandfather Kanji Ozawa, who taught her the ways of a samurai, in which she became highly skilled, after which she teamed up with Misty Knight at the behest of Tony Stark as a new Heroes for Hire tasked with capturing superhumans who have not registered.",action
1009262,Daredevil,"Abandoned by his mother, Matt Murdock was raised by his father, boxer ""Battling Jack"" Murdock, in Hell's Kitchen. Realizing that rules were needed to prevent people from behaving badly, young Matt decided to study law; however, when he saved a man from an oncoming truck, it spilled a radioactive cargo that rendered Matt blind while enhancing his remaining senses. Under the harsh tutelage of blind martial arts master Stick, Matt mastered his heightened senses and became a formidable fighter.",action
1010890,Deathlok,&nbsp;,action
1011071,Demogoblin,"Jason Macendale, the newest Hobgoblin was down on his luck and offered the demon N'astirh his soul in exchange for power during the  Inferno crisis, turning him into the Demogoblin.",action
1017102,Devil Dinosaur (HAS),"They say a dog is man's best friend, so naturally Hulk's best friend is a T-Rex! Devil Dinosaur is the team's trusty prehistoric pet that occasionally lends his massive jaws to the fight. Although he's got tiny arms, Devil's got a big heart and an even bigger bite!",action
